pertubation_name,xte,frames,highest_scale,is_dropped,sector,lap,x_pos,y_pos,timestamp,steering_diff
increase_brightness,0.05217219,1,0,False,1,1,0.9455658,23.02209,1699293771.955607,
increase_brightness,0.05189013,2,0,False,1,1,0.9443136,23.02238,1699293771.999846,
increase_brightness,0.05170972,3,0,False,1,1,0.9434766,23.02256,1699293772.052026,
increase_brightness,0.05159356,4,0,False,1,1,0.9428259,23.02268,1699293772.102115,
increase_brightness,0.05166161,5,0,False,1,1,0.943018,23.02261,1699293772.152789,0.02716364
increase_brightness,0.05197819,6,0,False,1,1,0.9448052,23.02229,1699293772.203047,
increase_brightness,0.0522177,7,0,False,1,1,0.9462388,23.02205,1699293772.253626,0.0102505535
increase_brightness,0.05270784,8,0,False,1,1,0.9492113,23.02155,1699293772.305395,
increase_brightness,0.05307335,9,0,False,1,1,0.952976,23.02117,1699293772.360373,0.018239334
increase_brightness,0.05328668,10,0,False,1,1,0.9554328,23.02095,1699293772.406113,
increase_brightness,0.05331236,11,0,False,1,1,0.9604814,23.0209,1699293772.464075,0.01443173
increase_brightness,0.05320897,12,0,False,1,1,0.9641519,23.021,1699293772.507789,
increase_brightness,0.05288269,13,0,False,1,1,0.9701049,23.0213,1699293772.560017,0.0077432245
increase_brightness,0.05258156,14,0,False,1,1,0.9747659,23.02159,1699293772.61112,
increase_brightness,0.05231447,15,0,False,1,1,0.9830642,23.02183,1699293772.66492,0.00018587708
increase_brightness,0.05211942,16,0,False,1,1,0.9891347,23.02201,1699293772.711619,
increase_brightness,0.0520264,17,0,False,1,1,0.9990504,23.02207,1699293772.761831,0.0010543093
increase_brightness,0.05192844,18,0,False,1,1,1.00636,23.02214,1699293772.812068,
increase_brightness,0.05196813,19,0,False,1,1,1.018301,23.02206,1699293772.861541,0.003504686
increase_brightness,0.05208294,20,0,False,1,1,1.026467,23.02192,1699293772.91868,
increase_brightness,0.05246636,21,0,False,1,1,1.040056,23.02149,1699293772.964467,0.008282006
increase_brightness,0.0526621,22,0,False,1,1,1.049739,23.02127,1699293773.017089,
increase_brightness,0.05295717,23,0,False,1,1,1.06411,23.02093,1699293773.066943,0.010588769
increase_brightness,0.05325276,24,0,False,1,1,1.079503,23.02058,1699293773.116149,
increase_brightness,0.05339586,25,0,False,1,1,1.090132,23.0204,1699293773.164431,0.0105373375
increase_brightness,0.05353312,26,0,False,1,1,1.106712,23.02021,1699293773.219385,
increase_brightness,0.05359599,27,0,False,1,1,1.118565,23.02011,1699293773.267571,0.0084917545
